,link,name,price,categories,sold amount,rating
0,https://www.tokopedia.com/ibingotech/apple-pencil-1-2-case-cover-silicone-case-cover-hitam-apple-pencil-1,Apple pencil 1 & 2 Case Cover Silicone Case Cover,Rp 209.000,Stylus Tablet,0,
1,https://www.tokopedia.com/ibingotech/fine-point-stainless-metal-apple-pencil-replacement-tip-untuk-gen-1-2-1-pc-clear-tip,Fine Point Stainless Metal Apple Pencil Replacement Tip Untuk Gen 1&2,Rp 149.000,Stylus Tablet,100+,4.8
2,https://www.tokopedia.com/ibingotech/apple-pencil-stylus-pen-palm-rejection-ipad-2018-dan-above-stylus-pen,Apple Pencil Stylus Pen Palm Rejection | iPad 2018 dan Above,Rp 529.000,Stylus Tablet,30+,5
3,https://www.tokopedia.com/ibingotech/apple-pencil-1-2-case-cover-gardient-color-silicone-case-cover-apple-pencil-1-hijau,Apple pencil 1 & 2 Case Cover Gardient Color Silicone Case Cover,Rp 149.000,Tablet Sleeve,70+,5
4,https://www.tokopedia.com/ibingotech/ibingo-palm-rejection-stylus-pen-apple-pencil-2-untuk-ipad-2018-above-ibingo-pen,iBingo Palm Rejection Stylus Pen Apple Pencil 2 UNTUK iPad 2018 Above,Rp 529.000,Stylus Tablet,100+,5
5,https://www.tokopedia.com/ibingotech/aluminium-laptop-stand-holder-foldable-adjustable-meja-laptop-laptop-stand,Aluminium Laptop Stand Holder Foldable Adjustable Meja Laptop,Rp 290.000,Meja Laptop,100+,5
6,https://www.tokopedia.com/ibingotech/detachable-acrylic-case-ipad-7-8-10-2-air3-10-5-air4-10-9-pro-11-20-21-tempered-glass-ipad7-8-10-2,DETACHABLE Acrylic Case iPad 7/8 10.2 Air3 10.5 Air4 10.9 Pro 11 20/21,Rp 80.000,Casing & Cover Tablet,0,
7,https://www.tokopedia.com/ibingotech/phone-ipad-stand-holder-hp-ipad-tatakan-di-meja-orange,PHONE iPad STAND HOLDER HP iPad TATAKAN DI MEJA,Rp 109.000,Holder Handphone,5,5
8,https://www.tokopedia.com/ibingotech/apple-pencil-gen1-cap-magnetic-replacement-cap-apple-pencil-1,"Apple Pencil Gen1 Cap, Magnetic Replacement Cap Apple Pencil 1",Rp 79.000,Stylus Tablet,18,5
9,https://www.tokopedia.com/ibingotech/original-apple-pencil-1-charger-cable-adapter,Original Apple Pencil 1 charger cable adapter,Rp 79.000,Stylus Tablet,18,4.9
10,https://www.tokopedia.com/ibingotech/sanag-original-bluetooth-wireless-portable-speaker-super-extra-bass-merah-muda,Sanag Original Bluetooth Wireless Portable Speaker Super Extra Bass,Rp 209.000,Speaker,2,5
11,https://www.tokopedia.com/ibingotech/paperlike-untuk-ipad-5-6-ipad-7-8-ipad-air-3-ipad-air-4-ipad-pro11-1-pc-ori-tip,"Paperlike untuk iPad 5/6,iPad 7/8, iPad Air 3/iPad Air 4/ iPad Pro11",Rp 99.000,Screen Guard Tablet,100+,4.9
12,https://www.tokopedia.com/ibingotech/soft-anti-licin-apple-pencil-tip-nib-untuk-apple-pencil-gen-1-2-1-pc-soft,Soft Anti Licin Apple Pencil Tip Nib Untuk Apple Pencil Gen 1&2,Rp 99.000,Stylus Tablet,250+,4.9
13,https://www.tokopedia.com/ibingotech/3-in-1-retractable-cable-charger-fast-charging-car-cable-charger-merah-muda,3 in 1 Retractable Cable Charger Fast Charging Car Cable Charger,Rp 89.000,Charger Handphone,7,4.8
14,https://www.tokopedia.com/ibingotech/keyboard-case-ipad-5-6-9-7-ipad-7-8-10-2-ipad-air-3-10-5-ipad-pro-11-tempered-glass-ipad-5-6-9-7,"Keyboard Case iPad 5/6 9.7,iPad 7/8 10.2,iPad Air 3 10.5, iPad Pro 11",Rp 80.000,Casing & Cover Tablet,80+,4.9
15,https://www.tokopedia.com/ibingotech/macbook-6-in-1-usb-type-c-hub-to-hdmi-4k-usb-3-0-sd-tf-card-pd-charge,Macbook 6 in 1 USB Type C Hub to HDMI 4K USB 3.0 SD/TF Card PD Charge,Rp 319.000,USB Hub & Extension,10,4.4
16,https://www.tokopedia.com/ibingotech/soft-clear-case-ipad-mini-5-6-7-8-air-3-air-4-pro-with-pen-slot-tempered-glass-ipad-8-10-2,Soft Clear Case iPad mini/ 5 /6 /7 /8 /Air 3 /Air 4/Pro With Pen Slot,Rp 80.000,Casing & Cover Tablet,1 rb+,4.9
17,https://www.tokopedia.com/ibingotech/case-apple-pencil-gen-1-gen-2-silicone-soft-case-cover-apple-pencil-2-hijau,Case Apple Pencil gen 1 gen 2 Silicone Soft Case Cover,Rp 79.000,Stylus Tablet,90+,5
18,https://www.tokopedia.com/ibingotech/original-apple-pencil-replacement-tip-nib-untuk-apple-pencil-gen-1-2-4-pc-tip-cover,Original Apple Pencil Replacement Tip Nib Untuk Apple Pencil Gen 1&2,Rp 29.000,Stylus Tablet,500+,5
